Date,Close,High,Low,Open,Volume,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
2012-01-31,1312.4100341796875,1321.4100341796875,1306.68994140625,1313.530029296875,4235550000,1282.5536783854166,1257.7860034179687,1288.0180421100508,1271.636147262692,16.815898991224458,17.76745160126684,66.0966199263134
2012-02-01,1324.0899658203125,1330.52001953125,1312.449951171875,1312.449951171875,4504360000,1286.0346761067708,1259.9452026367187,1290.345262994584,1273.6931597551477,16.769207147227235,17.56780271045892,71.23469201992354
2012-02-02,1325.5400390625,1329.18994140625,1321.5699462890625,1324.239990234375,4120920000,1290.0410115559896,1262.1430029296876,1292.6158937086432,1275.7263707083773,16.6571985007688,17.385681868520898,70.6148742607268
2012-02-03,1344.9000244140625,1345.3399658203125,1326.2099609375,1326.2099609375,4608550000,1293.4943440755208,1265.1814038085938,1295.9890634315734,1278.439063010561,17.924003110639433,17.493346116944604,82.51953180568913
2012-02-06,1344.3299560546875,1344.3599853515625,1337.52001953125,1344.3199462890625,3379700000,1296.8480102539063,1268.3072021484375,1299.1078306975808,1281.0230196005268,18.66677616251809,17.7280321260593,80.96569796420268
2012-02-07,1347.050048828125,1349.239990234375,1335.9200439453125,1344.3299560546875,3742460000,1299.9496785481772,1272.01240234375,1302.2008770285836,1283.6123148643542,19.252981525118685,18.033022005871178,77.80465310526041
2012-02-08,1349.9599609375,1351.0,1341.949951171875,1347.0400390625,4096730000,1302.7706787109375,1275.8382006835936,1305.2821082485139,1286.214183337811,19.724981774911157,18.371413959679174,76.62155325996906
2012-02-09,1351.949951171875,1354.3199462890625,1344.6300048828125,1349.969970703125,4209890000,1305.6546752929687,1279.0261987304686,1308.2929368242146,1288.7920565862057,20.02874208304729,18.7028795843528,77.00480095766756
2012-02-10,1342.6400146484375,1351.2099609375,1337.3499755859375,1351.2099609375,3877580000,1308.7546752929688,1281.9752001953125,1310.5088773290033,1290.9037412160972,19.295810156406333,18.821465698763507,67.43455898918144
2012-02-13,1351.77001953125,1353.3499755859375,1343.06005859375,1343.06005859375,3618040000,1311.713008626302,1284.0714013671875,1313.170886503342,1293.2906540912013,19.229999946340286,18.903172548278864,72.04797542934124
2012-02-14,1350.5,1351.300048828125,1340.8299560546875,1351.300048828125,3889520000,1314.809676106771,1286.1898022460937,1315.5792164063523,1295.5341578523307,18.857981842555546,18.8941344071342,66.50454383581518
2012-02-15,1343.22998046875,1355.8699951171875,1340.800048828125,1350.52001953125,4080340000,1317.0153401692708,1288.1688012695313,1317.3631366684426,1297.404582268661,17.77166431325054,18.669640388357468,66.82947114500479
2012-02-16,1358.0400390625,1359.02001953125,1341.219970703125,1342.6099853515625,4108880000,1319.7066731770833,1290.1880029296874,1319.9874529519302,1299.7824433193998,17.899463922404493,18.515605095166876,74.14056947295985
2012-02-17,1361.22998046875,1363.4000244140625,1357.239990234375,1358.06005859375,3717640000,1322.37900390625,1292.243203125,1322.648261178822,1302.19215065859,18.050077586799716,18.422499593493445,77.95036241831083
2012-02-21,1362.2099609375,1367.760009765625,1358.1099853515625,1361.219970703125,3795200000,1325.192333984375,1294.2672021484375,1325.2006289051883,1304.5457902773708,18.040555935764132,18.346110861947583,78.73956506118309
2012-02-22,1357.6600341796875,1362.699951171875,1355.530029296875,1362.1099853515625,3633710000,1327.7576700846355,1296.7334033203124,1327.2947840841882,1306.6287018029518,17.464548451443306,18.16979837984673,71.11059252685976
2012-02-23,1363.4599609375,1364.239990234375,1352.280029296875,1357.530029296875,3786450000,1330.1370035807292,1298.8988037109375,1329.628021300531,1308.8573786317577,17.276906563194643,17.991220016516312,72.60910070162159
2012-02-24,1365.739990234375,1368.9200439453125,1363.4599609375,1363.4599609375,3505360000,1332.57900390625,1301.4842041015625,1331.9578257478759,1311.0880692828407,17.114888542657354,17.81595372174452,65.60347017974229
2012-02-27,1367.5899658203125,1371.93994140625,1354.9200439453125,1365.199951171875,3648890000,1334.982002766927,1304.3214038085937,1334.2566734944849,1313.3038299313691,16.9404862822239,17.640860233840396,67.08791740950522
2012-02-28,1372.1800537109375,1373.0899658203125,1365.969970703125,1367.56005859375,3579120000,1337.7516723632812,1307.5286059570312,1336.703343185869,1315.6127014521367,16.97695321723654,17.508078830519626,67.96802038874779
2012-02-29,1365.6800537109375,1378.0400390625,1363.81005859375,1372.199951171875,4482370000,1340.1520060221353,1310.52720703125,1338.5728083810347,1317.5761270309133,16.29353610686485,17.26517028578867,60.69104644888132
2012-03-01,1374.0899658203125,1376.1700439453125,1365.9000244140625,1365.9000244140625,3919240000,1342.353670247396,1313.6158056640625,1340.8642378932464,1319.7923560030467,16.2432902073856,17.060794270108058,63.847926372836014
2012-03-02,1369.6300048828125,1374.530029296875,1366.4200439453125,1374.0899658203125,3283490000,1344.191337076823,1316.90140625,1342.720093828057,1321.7467736061749,15.663034681926092,16.781242352471665,67.971798106435
2012-03-05,1364.3299560546875,1369.5899658203125,1359.1300048828125,1369.5899658203125,3429480000,1345.8230021158854,1319.3620043945311,1344.1142784878398,1323.4167023296461,14.607126489856,16.346419179948533,58.81276755384481
2012-03-06,1343.3599853515625,1363.6300048828125,1340.030029296875,1363.6300048828125,4191060000,1346.735001627604,1321.3548046875,1344.0656144145316,1324.1987918599175,11.940566836105972,15.465248711180022,46.0751828843591
2012-03-07,1352.6300048828125,1354.8499755859375,1343.3900146484375,1343.3900146484375,3580380000,1348.0010009765624,1323.3274047851562,1344.618155735066,1325.313741390227,10.454795823995937,14.463158133743207,55.055959933134346
2012-03-08,1365.9100341796875,1368.719970703125,1352.6500244140625,1352.6500244140625,3543060000,1349.3293334960938,1325.3390063476563,1345.9918253121384,1326.9057528721667,10.230962800309953,13.616719067056557,54.30384529628448
2012-03-09,1370.8699951171875,1374.760009765625,1365.969970703125,1365.969970703125,3639470000,1351.0773315429688,1327.4478051757812,1347.5968685253674,1328.629840803344,10.334669277618104,12.960309109168868,55.171691161543066
2012-03-12,1371.0899658203125,1373.0400390625,1366.68994140625,1370.780029296875,3081870000,1352.9026652018229,1329.8768041992187,1349.1125522218156,1330.294943745186,10.315694302793872,12.43138614789387,54.80312756266944
2012-03-13,1395.949951171875,1396.1300048828125,1371.9200439453125,1371.9200439453125,4386470000,1355.6673299153647,1332.5354028320312,1352.134319896013,1332.8696499187815,12.166402834292285,12.378389485173553,66.98002591899287
2012-03-14,1394.280029296875,1399.4200439453125,1389.969970703125,1395.949951171875,4502280000,1358.396329752604,1335.26900390625,1354.8533979218753,1335.2779000904716,13.344526544619612,12.571616897062766,64.18712225251569
2012-03-15,1402.5999755859375,1402.6300048828125,1392.780029296875,1394.1700439453125,4271650000,1361.013330078125,1337.7798022460938,1357.9338222872987,1337.9179814824506,14.779182984093268,13.013130114468867,66.07363197639074
2012-03-16,1404.1700439453125,1405.8800048828125,1401.469970703125,1402.550048828125,5163950000,1363.6343302408854,1340.3172021484374,1360.9168043297511,1340.5161015790334,15.86002544272992,13.582509180121079,65.9906083244397
2012-03-19,1409.75,1414.0,1402.4300537109375,1404.1700439453125,3932570000,1365.79599609375,1342.8910009765625,1364.0673330826705,1343.2311564190713,16.97122300365686,14.260251944828235,66.28240763763756
2012-03-20,1405.52001953125,1409.5899658203125,1397.6800537109375,1409.5899658203125,3695280000,1367.8356648763022,1345.4452001953125,1366.741699950321,1345.6738569332745,17.31098079315916,14.870397714494421,67.61275880640639
2012-03-21,1402.8900146484375,1407.75,1400.6400146484375,1405.52001953125,3573590000,1369.6969970703126,1347.8890014648437,1369.0738492856833,1347.9176278240652,17.17009569977381,15.3303373115503,63.41786060393738
2012-03-22,1392.780029296875,1402.8900146484375,1388.72998046875,1402.8900146484375,3740590000,1371.1243326822917,1349.9030029296875,1370.6032802541474,1349.6769376857442,16.057550476629103,15.475779944566062,60.24610756508463
2012-03-23,1397.1099853515625,1399.1800537109375,1386.8699951171875,1392.780029296875,3472950000,1372.6296671549478,1351.9956030273438,1372.3133902604322,1351.5370572020508,15.34831580785385,15.45028711722362,64.63397354992142
2012-03-26,1416.510009765625,1416.5799560546875,1397.1099853515625,1397.1099853515625,3576950000,1375.0920003255208,1354.4158032226562,1375.1647850672189,1354.0850161261126,16.165318333350115,15.59329336044892,83.12059701030574
2012-03-27,1412.52001953125,1419.1500244140625,1411.949951171875,1416.550048828125,3513640000,1377.1170003255208,1356.884404296875,1377.5748001939307,1356.3765848870985,16.30291005590152,15.735216699539441,78.47843071697159
